N,t1,t2,t3,t4,t5
1,0.002,0.002,0.002,0.002,0.002
2,0.800,0.794,0.793,0.794,0.793
3,0.794,0.793,0.794,0.794,0.793
4,1.077,1.078,1.077,1.077,1.080
5,1.078,1.076,1.077,1.077,1.077
6,0.940,0.940,0.940,0.940,0.940
7,0.940,0.940,0.940,0.940,0.944
8,1.545,1.545,1.545,1.546,1.547
9,1.545,1.547,1.545,1.547,1.546
10,1.502,1.502,1.504,1.501,1.502
11,1.503,1.504,1.501,1.502,1.502
12,1.618,1.614,1.616,1.616,1.615
13,1.614,1.618,1.616,1.618,1.615
14,1.692,1.704,1.695,1.694,1.698
15,1.693,1.695,1.695,1.696,1.694
16,1.764,1.760,1.761,1.759,1.756
