N,t1,t2,t3,t4,t5
1,0.004,0.004,0.004,0.004,0.004
2,0.021,0.021,0.020,0.019,0.020
3,0.024,0.026,0.039,0.023,0.025
4,0.035,0.048,0.040,0.041,0.041
5,0.040,0.040,0.054,0.039,0.039
6,0.060,0.049,0.047,0.048,0.048
7,0.060,0.060,0.074,0.063,0.057
8,0.070,0.086,0.067,0.065,0.068
9,0.077,0.077,0.084,0.076,0.074
10,0.090,0.085,0.083,0.090,0.083
11,0.096,0.104,0.099,0.099,0.085
12,0.100,0.115,0.105,0.113,0.108
13,0.116,0.107,0.111,0.112,0.111
14,0.121,0.117,0.127,0.132,0.114
15,0.128,0.134,0.126,0.132,0.130
16,0.139,0.143,0.131,0.146,0.148
