N,t1,t2,t3,t4,t5
1,0.003,0.003,0.003,0.003,0.003
2,0.021,0.021,0.012,0.022,0.022
3,0.037,0.037,0.037,0.033,0.037
4,0.058,0.034,0.041,0.054,0.053
5,0.069,0.088,0.085,0.082,0.079
6,0.116,0.069,0.105,0.087,0.086
7,0.139,0.120,0.106,0.090,0.141
8,0.146,0.174,0.154,0.152,0.138
9,0.177,0.206,0.208,0.166,0.175
10,0.218,0.182,0.199,0.244,0.204
11,0.219,0.256,0.149,0.156,0.140
12,0.259,0.149,0.153,0.191,0.296
13,0.246,0.184,0.177,0.303,0.263
14,0.173,0.283,0.300,0.178,0.295
15,0.160,0.257,0.402,0.316,0.290
16,0.272,0.266,0.141,0.322,0.253
