N,t1,t2,t3,t4,t5
1,0.003,0.003,0.003,0.003,0.003
2,0.020,0.019,0.026,0.027,0.024
3,0.060,0.053,0.033,0.033,0.028
4,0.048,0.048,0.045,0.049,0.036
5,0.063,0.066,0.066,0.067,0.066
6,0.076,0.083,0.083,0.084,0.080
7,0.102,0.103,0.099,0.100,0.098
8,0.117,0.114,0.119,0.119,0.112
9,0.130,0.122,0.119,0.123,0.135
10,0.126,0.131,0.127,0.143,0.124
11,0.138,0.130,0.135,0.131,0.117
12,0.194,0.145,0.132,0.122,0.112
13,0.118,0.140,0.143,0.178,0.132
14,0.155,0.144,0.120,0.122,0.195
15,0.139,0.162,0.110,0.158,0.195
16,0.179,0.145,0.126,0.165,0.144
