N,t1,t2,t3,t4,t5
2,8.553,8.654,8.898,8.772,4.851
3,4.397,3.588,4.326,4.346,4.292
4,2.457,2.684,2.963,2.701,2.495
5,2.170,2.064,2.636,2.321,2.295
6,2.012,2.009,1.892,2.063,1.890
7,2.062,2.082,2.094,1.985,1.913
8,2.079,2.112,2.104,2.141,2.149
9,2.133,2.123,2.115,2.107,2.109
10,2.105,2.127,2.200,2.208,2.176
11,2.200,2.200,2.177,2.168,2.143
12,2.196,2.169,2.201,2.150,2.179
13,2.192,2.149,2.204,2.203,2.227
14,2.188,2.203,2.210,2.182,2.213
15,2.192,2.208,2.186,2.172,2.194
16,2.171,2.215,2.217,2.230,2.199
