N,t1,t2,t3,t4,t5
2,7.712,3.892,7.640,7.787,7.836
3,3.737,4.255,4.412,4.328,4.058
4,2.686,2.758,2.522,2.445,2.504
5,2.499,2.104,2.180,2.033,2.037
6,2.161,1.947,1.960,2.026,2.021
7,1.989,2.167,2.043,2.064,2.120
8,2.150,2.121,2.156,2.249,2.238
9,2.205,2.313,2.182,2.155,2.192
10,2.174,2.154,2.193,2.202,2.257
11,2.197,2.227,2.254,2.247,2.261
12,2.267,2.231,2.194,2.208,2.217
13,2.263,2.306,2.361,2.338,2.278
14,2.286,2.290,2.220,2.245,2.265
15,2.380,2.330,2.324,2.267,2.286
16,2.438,2.362,2.373,2.399,2.334
