N,t1,t2,t3,t4,t5
2,8.517,7.388,7.266,7.819,7.694
3,4.195,4.097,4.443,4.266,4.237
4,2.422,2.674,2.808,2.654,2.589
5,2.630,2.031,2.262,2.123,2.104
6,2.000,2.091,2.078,2.018,1.956
7,2.076,1.994,2.130,2.140,1.915
8,2.081,2.087,2.189,2.154,2.146
9,2.107,2.029,2.108,2.079,2.078
10,2.111,2.135,2.158,2.079,2.062
11,2.134,2.094,2.067,2.037,2.173
12,2.135,2.056,2.114,2.058,2.185
13,2.121,2.088,2.151,2.140,2.074
14,2.190,2.218,2.141,2.226,2.100
15,2.190,2.174,2.124,2.139,2.186
16,2.185,2.150,2.187,2.178,2.181
