N,t1,t2,t3,t4,t5
2,0.161,0.161,0.162,0.161,0.162
3,6.147,5.868,5.397,5.292,6.219
4,1.480,2.874,3.305,3.225,2.654
5,0.520,0.889,0.952,1.105,1.245
6,0.564,0.506,0.681,0.485,0.882
7,0.869,0.900,1.120,0.950,1.087
8,0.730,0.836,0.721,0.719,0.834
9,0.590,0.658,1.032,0.688,0.825
10,0.839,0.762,0.476,0.745,0.547
11,0.621,0.930,0.792,0.890,0.840
12,0.729,0.717,0.713,0.612,0.733
13,0.705,0.829,0.859,0.817,0.818
14,0.728,0.809,0.719,0.821,0.735
15,0.903,0.862,0.874,0.901,0.824
16,0.716,0.764,0.763,0.776,0.749
