N,t1,t2,t3,t4,t5
2,0.162,0.163,0.162,0.163,0.162
3,1.286,3.043,2.994,3.155,1.791
4,2.149,3.041,3.010,3.208,2.607
5,1.261,1.125,1.027,1.073,1.094
6,1.003,1.266,0.789,1.177,1.023
7,1.744,1.592,1.082,1.352,1.775
8,0.933,1.507,1.295,1.044,0.859
9,1.440,1.173,1.234,1.607,1.207
10,1.180,1.046,1.155,1.424,1.026
11,1.819,1.200,1.575,1.629,1.588
12,1.051,1.421,1.331,1.454,1.653
13,1.634,1.803,1.562,1.425,1.729
14,1.622,1.912,1.889,1.777,1.493
15,1.570,2.332,1.796,2.020,2.480
16,2.072,2.236,1.943,2.140,2.126
