N,t1,t2,t3,t4,t5
2,0.218,0.162,0.162,0.162,0.162
3,1.652,2.847,3.197,2.522,3.116
4,3.181,2.372,3.041,2.296,3.249
5,0.994,0.783,0.654,1.048,1.725
6,0.565,0.694,0.719,0.628,0.643
7,1.008,1.009,1.051,1.164,0.938
8,0.679,0.636,0.664,0.686,0.791
9,1.006,1.037,0.680,0.863,0.986
10,0.738,0.805,0.585,0.735,0.457
11,0.719,0.865,0.781,0.722,0.765
12,0.770,0.505,0.604,0.648,0.616
13,0.848,0.748,0.816,0.829,0.795
14,0.738,0.794,0.799,0.702,0.719
15,0.955,0.930,0.932,0.869,0.992
16,0.764,0.774,0.820,0.791,0.824
