N,t1,t2,t3,t4,t5
1,0.000,0.000,0.000,0.000,0.000
2,0.794,0.794,0.795,0.796,0.794
3,0.794,0.802,0.794,0.794,0.794
4,0.824,0.823,0.823,0.832,0.823
5,0.822,0.822,0.822,0.822,0.821
6,0.823,0.823,0.821,0.823,0.827
7,0.822,0.823,0.828,0.827,0.828
8,0.870,0.865,0.877,0.862,0.862
9,0.887,0.866,0.870,0.863,0.876
10,2.349,2.009,2.094,2.192,2.769
11,1.951,1.821,2.370,1.974,2.360
12,4.415,4.351,3.278,4.781,3.627
13,3.933,3.814,3.183,3.552,3.354
14,5.694,6.763,6.836,5.185,10.676
15,5.689,5.414,4.844,5.237,5.200
16,6.554,6.378,8.464,8.351,7.971
