N,t1,t2,t3,t4,t5
1,0.000,0.000,0.000,0.000,0.000
2,0.794,0.795,0.794,0.794,0.794
3,0.794,0.794,0.796,0.794,0.794
4,0.804,0.803,0.804,0.804,0.803
5,0.808,0.804,0.804,0.804,0.804
6,0.809,0.809,0.810,0.813,0.807
7,0.822,0.809,0.808,0.811,0.817
8,0.821,0.815,0.820,0.826,0.825
9,0.816,0.823,0.815,0.814,0.818
10,0.819,0.820,0.862,0.825,0.823
11,0.819,0.826,0.828,0.821,0.828
12,0.875,0.821,0.825,0.872,0.831
13,0.824,0.850,0.899,0.823,0.835
14,0.881,0.862,0.858,0.866,0.831
15,0.854,0.845,0.839,0.877,0.875
16,0.866,0.873,0.888,0.866,0.866
